bearer;id;generated;title;visual;description;type;tag1;tag2;tag3;tag4;eyes;firstname;name
computer;1;ORISON-9;The Civic Intelligence;;The orbital intelligence that runs Lionrise and advises the player with ruthless clarity.;generated;;;;;no;;
general;24;Ilyra Voss;The Security Marshal;;A decorated defender who believes sovereignty must be made credible.;individual;crew;female;officer;;;;
dose;5;Dr. Sable Quen;The Habitat Engineer;;A systems biologist responsible for air water and the fragile ecology of Lionrise.;individual;crew;female;officer;scientist;;;
robot;38;BRIC-7;The Labor Delegate;;A construction robot elected to represent workers organic and synthetic.;individual;crew;mechanic;passenger;;;;
reporter;34;Nima Rao;The Education Minister;;A relentless public communicator building schools and clean institutions.;individual;crew;female;scientist;;;;
shark;14;Rook Marr;The Industrialist;;A brilliant investor who can smell an emerging monopoly through vacuum.;individual;male;officer;;;;;
sala;3;Kest Vey;The Port Architect;;A pilot and logistics savant who sees trade routes where others see empty space.;individual;crew;male;officer;;;;
mantis;21;Sol of Veyr;The Ambassador;;An alien diplomat fluent in the threats hidden inside generous treaties.;individual;passenger;officer;;;;;
renaissance;28;Choir-of-Glass;The Living Network;;A collective alien intelligence carrying the memory of a hundred displaced worlds.;individual;passenger;scientist;;;no;;
feeler;83;Pip;The Young Lion;;A fearless adolescent bug and unofficial voice of the station's next generation.;individual;passenger;;;;;;
concert;11;;;;;system;;;;;no;;
fight;41;;;;;system;;;;;no;;
effect;9;;;;;system;;;;;no;;
end;30;;;;;system;;;;;no;;
intercale;7;;;;;system;;;;;no;;
map;8;;;;;system;;;;;no;;
objectives;10;;;;;system;;;;;no;;
merchandise;13;;;;;special;;;;;no;;
guitar;51;;;;;special;;;;;no;;
phone;52;Relay;The Quantum Relay;;;special;;;;;;;
mirror;53;You;At the Helm;;;special;;;;;no;;
spaceship;60;Lionrise;The Orbital City;;;special;;;;;no;;
sandman;61;Lionrise;Inside the city;;;special;;;;;no;;
gameover;65;;;;;special;;;;;no;;
dungeon;80;Undercity; ;;;special;;;;;;;
vrroom;81;Policy simulator; ;;;special;;;;;;;
crew;44;;;;;tag;;;;;;;
male;45;;;;;tag;;;;;;;
female;46;;;;;tag;;;;;;;
mechanic;47;;;;;tag;;;;;;;
passenger;48;;;;;tag;;;;;;;
officer;49;;;;;tag;;;;;;;
scientist;50;;;;;tag;;;;;;;
