id;match;en
building;;BUILDING LIONRISE
death_0;;TIMELINE COMPLETE
death_1;;<nickname>
slowly2;;Swipe slowly to preview each choice and its impact on Lionrise.
action_reset;;NEW TIMELINE
time_in_power;;TURNS
camera_usage;;Helm would like to use your camera so characters who trust you can meet your eyes.
highscore_stats;;BEST TIMELINES
defaultnick;;The Founder
highscore_label;;<nickname>, timeline <number><num>
title;;HELM
title2;;LIONRISE PROTOCOL
fulltitle;;Helm: Lionrise Protocol
end_airlock;;THE OPEN CONSTELLATION
end_explosion;;THE LAST LIGHT
end_oxygen;;THE ORBITAL GARDEN
end_power;;THE IRON HELM
end_speakers;;THE LIONRISE PROTOCOL
label_new;;Start a new Lionrise timeline?
;clone;timeline
;<length> light years travelled;<length> decisions made
;<number> light years travelled;<number> decisions made
